"Name","DisplayName","Status"
"Dhcp","DHCP Client","Running"
"diagsvc","Diagnostic Execution Service","Stopped"
"DiagTrack","Connected User Experiences and Telemetry","Running"
"DispBrokerDesktopSvc","Display Policy Service","Running"
"DisplayEnhancementService","Display Enhancement Service","Running"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped"
"Dnscache","DNS Client","Running"
"DoSvc","Delivery Optimization","Stopped"
"dot3svc","Wired AutoConfig","Stopped"
"DPS","Diagnostic Policy Service","Running"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running"
"DsmSvc","Device Setup Manager","Stopped"
"DsSvc","Data Sharing Service","Stopped"
"DusmSvc","Data Usage","Running"
"EapHost","Extensible Authentication Protocol","Stopped"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped"
"EFS","Encrypting File System (EFS)","Stopped"
"embeddedmode","Embedded Mode","Stopped"
"EntAppSvc","Enterprise App Management Service","Stopped"
"EventLog","Windows Event Log","Running"
"EventSystem","COM+ Event System","Running"
"fdPHost","Function Discovery Provider Host","Stopped"
"FDResPub","Function Discovery Resource Publication","Stopped"
"fhsvc","File History Service","Stopped"
"FileSyncHelper","FileSyncHelper","Stopped"
"FontCache","Windows Font Cache Service","Running"
"FrameServer","Windows Camera Frame Server","Stopped"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped"
"GameInputSvc","GameInput Service","Stopped"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped"
"GoogleUpdaterInternalService144.0.7547.0","Google updater internal service (GoogleUpdaterInternalService144.0.7547.0)","Stopped"
"GoogleUpdaterService144.0.7547.0","Google Updater Service (GoogleUpdaterService144.0.7547.0)","Stopped"
"gpsvc","Group Policy Client","Running"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped"
"hidserv","Human Interface Device Service","Running"
"hns","Host Network Service","Running"
"hpatchmon","Hotpatch Monitoring Service","Stopped"
"HvHost","HV Host Service","Running"
"icssvc","Windows Mobile Hotspot Service","Stopped"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped"
"InstallService","Microsoft Store Install Service","Running"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped"
"IntelAudioService","Intel(R) Audio Service","Running"
"IntelGraphicsSoftwareService","Intel® Graphics Software","Running"
"InventorySvc","Inventory and Compatibility Appraisal service","Running"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running"
"iphlpsvc","IP Helper","Running"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running"
"KeyIso","CNG Key Isolation","Running"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped"
"LanmanServer","Server","Running"
"LanmanWorkstation","Workstation","Running"
"lfsvc","Geolocation Service","Running"
"LicenseManager","Windows License Manager Service","Running"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped"
"lmhosts","TCP/IP NetBIOS Helper","Running"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped"
"LSM","Local Session Manager","Running"
"LxpSvc","Language Experience Service","Stopped"
"MapsBroker","Downloaded Maps Manager","Stopped"
"McAfee WebAdvisor","McAfee WebAdvisor","Running"
"McmSvc","Mobile Connectivity Management Service","Stopped"
"McpManagementService","McpManagementService","Stopped"
"MDCoreSvc","Microsoft Defender Core Service","Running"
"MessagingService_bbba9","MessagingService_bbba9","Stopped"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped"
"midisrv","Windows MIDI Service","Running"
"mpssvc","Windows Defender Firewall","Running"
"MSDTC","Distributed Transaction Coordinator","Running"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped"
"msiserver","Windows Installer","Stopped"
"MSSQLSERVER","SQL Server (MSSQLSERVER)","Running"
"NaturalAuthentication","Natural Authentication","Stopped"
"NcaSvc","Network Connectivity Assistant","Stopped"
"NcbService","Network Connection Broker","Running"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped"
"Netlogon","Netlogon","Stopped"
"Netman","Network Connections","Stopped"
"netprofm","Network List Service","Running"
"NetSetupSvc","Network Setup Service","Stopped"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped"
"NgcCtnrSvc","Microsoft Passport Container","Stopped"
"NgcSvc","Microsoft Passport","Stopped"
"NlaSvc","Network Location Awareness","Stopped"
"NPSMSvc_bbba9","Now Playing Session Manager Service_bbba9","Running"
"nsi","Network Store Interface Service","Running"
"nvagent","Network Virtualization Service","Running"
"OneDrive Updater Service","OneDrive Updater Service","Stopped"
"OneSyncSvc_bbba9","Sync Host_bbba9","Running"
"P9RdrService_bbba9","P9RdrService_bbba9","Stopped"
"PcaSvc","Program Compatibility Assistant Service","Running"
"PenService_bbba9","PenService_bbba9","Stopped"
"perceptionsimulation","Windows Perception Simulation Service","Stopped"
"PerfHost","Performance Counter DLL Host","Stopped"
"PhoneSvc","Phone Service","Stopped"
"PimIndexMaintenanceSvc_bbba9","Contact Data_bbba9","Running"
"pla","Performance Logs & Alerts","Stopped"
"PlugPlay","Plug and Play","Running"
"PolicyAgent","IPsec Policy Agent","Stopped"
"Power","Power","Running"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped"
"PrintNotify","Printer Extensions and Notifications","Stopped"
"PrintScanBrokerService","PrintScanBrokerService","Stopped"
"PrintWorkflowUserSvc_bbba9","PrintWorkflow_bbba9","Stopped"
"ProfSvc","User Profile Service","Running"
"PushToInstall","Windows PushToInstall Service","Stopped"
"QWAVE","Quality Windows Audio Video Experience","Stopped"
"RasAuto","Remote Access Auto Connection Manager","Stopped"
"RasMan","Remote Access Connection Manager","Running"
"refsdedupsvc","ReFS Dedup Service","Stopped"
"RemoteAccess","Routing and Remote Access","Stopped"
"RemoteRegistry","Remote Registry","Stopped"
"RetailDemo","Retail Demo Service","Stopped"
"RmSvc","Radio Management Service","Running"
"RpcEptMapper","RPC Endpoint Mapper","Running"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped"
"RpcSs","Remote Procedure Call (RPC)","Running"
"RstMwService","Intel(R) Storage Middleware Service","Running"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running"
"RtkBtManServ","Realtek Bluetooth Device Manager Service","Running"
"SamSs","Security Accounts Manager","Running"
"SCardSvr","Smart Card","Stopped"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped"
"Schedule","Task Scheduler","Running"
"SCPolicySvc","Smart Card Removal Policy","Stopped"
"SDRSVC","Windows Backup","Stopped"
"seclogon","Secondary Logon","Stopped"
"SecurityHealthService","Windows Security Service","Running"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped"
"SENS","System Event Notification Service","Running"
"SensorDataService","Sensor Data Service","Stopped"
"SensorService","Sensor Service","Stopped"
"SensrSvc","Sensor Monitoring Service","Stopped"
"SessionEnv","Remote Desktop Configuration","Stopped"
"SharedAccess","Internet Connection Sharing (ICS)","Running"
"ShellHWDetection","Shell Hardware Detection","Running"
"shpamsvc","Shared PC Account Manager","Stopped"
"smphost","Microsoft Storage Spaces SMP","Running"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped"
"SNMPTrap","SNMP Trap","Stopped"
"Spooler","Print Spooler","Running"
"sppsvc","Software Protection","Stopped"
"SQLBrowser","SQL Server Browser","Stopped"
"SQLSERVERAGENT","SQL Server Agent (MSSQLSERVER)","Stopped"
"SQLTELEMETRY","SQL Server CEIP service (MSSQLSERVER)","Running"
"SQLWriter","SQL Server VSS Writer","Running"
"SSDPSRV","SSDP Discovery","Running"
"ssh-agent","OpenSSH Authentication Agent","Stopped"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running"
"StateRepository","State Repository Service","Running"
"StiSvc","Windows Image Acquisition (WIA)","Stopped"
"StorSvc","Storage Service","Running"
"SupportAssistAgent","Dell SupportAssist","Running"
"svsvc","Spot Verifier","Stopped"
"swprv","Microsoft Software Shadow Copy Provider","Stopped"
"SysMain","SysMain","Running"
"SystemEventsBroker","System Events Broker","Running"
"TapiSrv","Telephony","Stopped"
"TermService","Remote Desktop Services","Stopped"
"TextInputManagementService","Text Input Management Service","Running"
"Themes","Themes","Running"
"TieringEngineService","Storage Tiers Management","Stopped"
"TimeBrokerSvc","Time Broker","Running"
"TokenBroker","Web Account Manager","Running"
"TrkWks","Distributed Link Tracking Client","Running"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped"
"TrustedInstaller","Windows Modules Installer","Stopped"
"tzautoupdate","Auto Time Zone Updater","Stopped"
"UdkUserSvc_bbba9","Udk User Service_bbba9","Running"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped"
"UnistoreSvc_bbba9","User Data Storage_bbba9","Running"
"upnphost","UPnP Device Host","Stopped"
"UserDataSvc_bbba9","User Data Access_bbba9","Running"
"UserManager","User Manager","Running"
"UsoSvc","Update Orchestrator Service","Running"
"VaultSvc","Credential Manager","Running"
"vds","Virtual Disk","Stopped"
"vmcompute","Hyper-V Host Compute Service","Stopped"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped"
"VSS","Volume Shadow Copy","Stopped"
"VSStandardCollectorService150","Visual Studio Standard Collector Service 150","Stopped"
"W32Time","Windows Time","Running"
"WaaSMedicSvc","WaaSMedicSvc","Stopped"
"WalletService","WalletService","Stopped"
"WarpJITSvc","Warp JIT Service","Stopped"
"WavesAudioService","Waves Audio Universal Services","Running"
"WavesSysSvc","Waves Audio Services","Running"
"wbengine","Block Level Backup Engine Service","Stopped"
"WbioSrvc","Windows Biometric Service","Stopped"
"Wcmsvc","Windows Connection Manager","Running"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped"
"WdiServiceHost","Diagnostic Service Host","Stopped"
"WdiSystemHost","Diagnostic System Host","Running"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running"
"WebClient","WebClient","Stopped"
"webthreatdefsvc","Web Threat Defense Service","Running"
"webthreatdefusersvc_bbba9","Web Threat Defense User Service_bbba9","Running"
"Wecsvc","Windows Event Collector","Stopped"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped"
"wercplsupport","Problem Reports Control Panel Support","Stopped"
"WerSvc","Windows Error Reporting Service","Stopped"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped"
"whesvc","Windows Health and Optimized Experiences","Running"
"WiaRpc","Still Image Acquisition Events","Stopped"
"WinDefend","Microsoft Defender Antivirus Service","Running"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running"
"Winmgmt","Windows Management Instrumentation","Running"
"WinRM","Windows Remote Management (WS-Management)","Stopped"
"wisvc","Windows Insider Service","Stopped"
"WlanSvc","WLAN AutoConfig","Running"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped"
"wlpasvc","Local Profile Assistant Service","Stopped"
"WManSvc","Windows Management Service","Stopped"
"wmiApSrv","WMI Performance Adapter","Stopped"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped"
"workfolderssvc","Work Folders","Stopped"
"WpcMonSvc","Parental Controls","Stopped"
"WPDBusEnum","Portable Device Enumerator Service","Stopped"
"WpnService","Windows Push Notifications System Service","Running"
"WpnUserService_bbba9","Windows Push Notifications User Service_bbba9","Running"
"WSAIFabricSvc","WSAIFabricSvc","Running"
"wscsvc","Security Center","Running"
"WSearch","Windows Search","Running"
"wuauserv","Windows Update","Stopped"
"wuqisvc","Microsoft Usage and Quality Insights","Stopped"
"WwanSvc","WWAN AutoConfig","Stopped"
"XblAuthManager","Xbox Live Auth Manager","Stopped"
"XblGameSave","Xbox Live Game Save","Stopped"
"XboxGipSvc","Xbox Accessory Management Service","Stopped"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped"
